# NJOY2016 2016.79 ac5adf5 -- band integrals of the ESZ columns over
# equal-lethargy bands (20/decade) lying wholly BELOW thnmax
# = 2.250000e-3 MeV, i.e. the bands that actually test Doppler broadening.
# MAT 9228, 293.6 K. Integrals in barn*MeV; energies in MeV.
e_lo_mev,e_hi_mev,total,absorption,elastic
2.17043756687143081e-4,2.43475789518581042e-4,1.28705744424398435e-3,3.09256164767132983e-4,3.20903081147944416e-4
2.43475789518581042e-4,2.73126769396763206e-4,1.31137005838311655e-3,2.52646602235691796e-4,3.54258498063600707e-4
2.73126769396763206e-4,3.06388706280052883e-4,1.01956583387587899e-3,1.47859027245688095e-4,4.00704869408621421e-4
3.06388706280052883e-4,3.43701349901725129e-4,1.32014420673832490e-3,2.93978218234568027e-4,4.27345316826822517e-4
3.43701349901725129e-4,3.85558003617441508e-4,1.23465889083282376e-3,2.45280065896541326e-4,4.85724801165325908e-4
3.85558003617441508e-4,4.32512046274978934e-4,1.29702833590589271e-3,2.04119093730794205e-4,5.13927193480221822e-4
4.32512046274978934e-4,4.85184248330584444e-4,1.63248846392325384e-3,2.69617367172482675e-4,6.03231189207839038e-4
4.85184248330584444e-4,5.44270978936967423e-4,1.92395992619235007e-3,2.89499998328306878e-4,6.87540471124654202e-4
5.44270978936967423e-4,6.10553412507254382e-4,1.98175949340057694e-3,2.74314969654440946e-4,7.73645534800973143e-4
6.10553412507254382e-4,6.84907856473134283e-4,2.07745363073509040e-3,3.61966088790930578e-4,9.01851000699757481e-4
6.84907856473134283e-4,7.68317336778543986e-4,2.32088399724159023e-3,3.93991771862456765e-4,1.00232018170203678e-3
7.68317336778543986e-4,8.61884594278454507e-4,2.31480706189413554e-3,3.56446381719136343e-4,1.09779933153036457e-3
8.61884594278454507e-4,9.66846663865725785e-4,2.67753355387827024e-3,5.29362448535487199e-4,1.28154529452799231e-3
9.66846663865725785e-4,1.08459122907385037e-3,2.81298968634481920e-3,5.27712832387694638e-4,1.41009772490498404e-3
1.08459122907385037e-3,1.21667496837667469e-3,3.29404110219692946e-3,4.69416988227987621e-4,1.60751636301068707e-3
1.21667496837667469e-3,1.36484413573806232e-3,3.29484023414285208e-3,4.17830478793662326e-4,1.76751754730507054e-3
1.36484413573806232e-3,1.53105764750300017e-3,3.57944385173758917e-3,4.25093166510806856e-4,2.05804326665348300e-3
1.53105764750300017e-3,1.71751298085754626e-3,4.02542950464650478e-3,4.54351168146551777e-4,2.31760439422705466e-3
1.71751298085754626e-3,1.92667522625622999e-3,4.35236687005956246e-3,4.78311859384558994e-4,2.57164478851172043e-3
1.92667522625622999e-3,2.16130967791350066e-3,4.93308893452355009e-3,6.34991886417485209e-4,2.95878395096768783e-3
