# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
3.32507099999999986e-4,1.02016104999999996e2,2.06465023999999993e1,1.11115200000000005e1
3.33100300000000013e-4,6.20500665000000026e2,3.51935501999999985e2,9.14254600000000011e1
3.37386000000000012e-4,3.86666176000000021e1,2.14006223999999996e1,1.17005999999999997e1
3.37703199999999976e-4,1.75042745999999987e1,1.60818338000000005e0,1.05210200000000000e1
3.38803499999999996e-4,1.76849446000000015e1,2.15297238000000002e0,9.30209999999999937e0
3.40000000000000024e-4,1.80799395000000004e2,2.37836123999999991e1,1.46100800000000000e1
3.41506599999999980e-4,2.11852824999999996e1,2.56682237000000013e0,1.14742999999999995e1
3.42270100000000022e-4,1.51418824999999998e2,6.44531824000000029e1,1.54217200000000005e1
3.43174900000000000e-4,3.39704985000000022e2,2.01841302000000013e2,3.38157799999999966e1
3.43994100000000007e-4,4.70615234999999984e2,2.25796901999999989e2,5.49677300000000031e1
3.45652500000000011e-4,3.38717945000000000e1,8.49404235000000085e0,1.13171099999999996e1
3.48215999999999988e-4,1.37130955000000000e2,6.49345122999999944e1,1.41458399999999997e1
3.49375399999999996e-4,3.48227825000000024e1,3.69493033999999998e0,1.16017200000000003e1
3.49405000000000006e-4,3.41658444999999986e1,3.71793233999999995e0,1.18046900000000008e1
3.50949699999999999e-4,8.78412244999999956e1,5.32638822999999988e1,1.15030999999999999e1
3.52811100000000001e-4,1.00733884000000003e2,2.99998022999999989e1,1.23802299999999992e1
3.52917399999999983e-4,6.11347744999999989e1,2.61714723000000014e1,1.32878900000000009e1
3.57184999999999989e-4,2.29766115000000006e1,1.69165831999999994e0,1.22879400000000008e1
3.57427700000000027e-4,2.48027504999999984e1,2.43806832000000018e0,1.17066999999999997e1
3.59657799999999991e-4,6.80531543999999968e1,1.42745723000000009e1,1.12922100000000007e1
3.59683999999999980e-4,6.66797143999999946e1,1.47634723000000001e1,1.25402100000000001e1
3.60429099999999981e-4,6.50696144000000061e1,1.14293122999999994e1,1.18416599999999992e1
3.60924599999999977e-4,2.53791423999999992e1,4.19648030000000016e0,1.06858199999999997e1
3.62498799999999999e-4,4.49143863999999979e1,8.79225429999999974e0,1.20279500000000006e1
3.62873899999999975e-4,2.26297564000000015e1,2.96180729999999981e0,1.11472400000000000e1
3.63617599999999986e-4,1.92929123999999987e1,1.09408729999999998e0,1.04834099999999992e1
3.65585100000000011e-4,4.60621373999999975e1,5.85141529000000027e0,1.22954899999999991e1
3.70343199999999988e-4,3.20945993999999985e2,1.64438802000000010e2,3.33061900000000009e1
3.71388099999999982e-4,5.52164593999999980e1,8.43666726999999916e0,1.16662300000000005e1
3.71785099999999999e-4,1.57909284000000003e1,1.16682027000000010e0,1.15411900000000003e1
3.72631800000000006e-4,3.08619583999999975e2,2.22622602000000001e2,3.23268800000000027e1
3.72662899999999986e-4,1.24747553999999994e2,7.90946023000000054e1,2.92416499999999999e1
3.73328300000000022e-4,1.16887643999999995e2,5.87238223000000019e1,1.36581600000000005e1
3.76906200000000000e-4,1.35574603000000007e1,1.17802424999999999e0,9.75312800000000024e0
3.80221900000000013e-4,3.13637134000000003e2,2.10937401999999992e2,4.04484899999999996e1
3.81609600000000027e-4,2.71411154000000010e2,1.94269601999999992e2,2.28666200000000011e1
3.82392699999999975e-4,2.36255042999999993e1,6.26205923000000020e0,1.13195700000000006e1
3.82991899999999988e-4,3.51214693000000011e1,1.07871822000000002e1,9.94234499999999954e0
3.84348199999999974e-4,2.08362702999999989e1,6.91300622999999970e0,9.62205400000000033e0
3.85208500000000010e-4,2.51384943000000014e1,2.43931223000000008e0,1.14150100000000005e1
