case,mu,mu_r,stage,n_pebbles,n_centres,r_m,r_over_d,g,coordination,counts
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.279000,4.6500,0.989055,472.301629,54750
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.280200,4.6700,1.000876,478.410954,55882
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.281400,4.6900,0.985095,484.475566,55473
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.282600,4.7100,0.997172,490.666995,56633
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.283800,4.7300,0.987831,496.852629,56580
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.285000,4.7500,0.988377,503.094129,57091
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.286200,4.7700,0.990870,509.404176,57718
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.287400,4.7900,0.990274,515.763420,58168
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.288600,4.8100,0.996913,522.218870,59048
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.289800,4.8300,1.000545,528.751831,59757
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.291000,4.8500,0.997425,535.318465,60065
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.292200,4.8700,0.997369,541.938996,60558
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.293400,4.8900,1.007261,548.680223,61662
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.294600,4.9100,0.992397,555.376408,61250
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.295800,4.9300,0.995065,562.145403,61916
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.297000,4.9500,1.001116,569.010933,62799
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.298200,4.9700,0.998484,575.913852,63141
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.299400,4.9900,1.003328,582.906199,63959
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.000600,0.0100,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.001800,0.0300,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.003000,0.0500,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.004200,0.0700,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.005400,0.0900,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.006600,0.1100,0.000000,0.000000,0
ours_settled,0.4,0.1,settled_flat_floor,27554,9147,0.007800,0.1300,0.000000,0.000000,0
