step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
650,-0.0053499999999999139,0.00032500000000000465,0,1,0.5,0,0,0,0,0.0053499999999999139,-0.00032500000000000465,0,-1,-0.5,0,0,0,0
660,-0.0053399999999999125,0.00033000000000000477,0,1,0.5,0,0,0,0,0.0053399999999999125,-0.00033000000000000477,0,-1,-0.5,0,0,0,0
670,-0.0053299999999999112,0.00033500000000000489,0,1,0.5,0,0,0,0,0.0053299999999999112,-0.00033500000000000489,0,-1,-0.5,0,0,0,0
680,-0.0053199999999999099,0.00034000000000000501,0,1,0.5,0,0,0,0,0.0053199999999999099,-0.00034000000000000501,0,-1,-0.5,0,0,0,0
690,-0.0053099999999999085,0.00034500000000000513,0,1,0.5,0,0,0,0,0.0053099999999999085,-0.00034500000000000513,0,-1,-0.5,0,0,0,0
700,-0.0052999999999999072,0.00035000000000000525,0,1,0.5,0,0,0,0,0.0052999999999999072,-0.00035000000000000525,0,-1,-0.5,0,0,0,0
710,-0.0052899999999999059,0.00035500000000000538,0,1,0.5,0,0,0,0,0.0052899999999999059,-0.00035500000000000538,0,-1,-0.5,0,0,0,0
720,-0.0052799999999999046,0.0003600000000000055,0,1,0.5,0,0,0,0,0.0052799999999999046,-0.0003600000000000055,0,-1,-0.5,0,0,0,0
730,-0.0052699999999999032,0.00036500000000000562,0,1,0.5,0,0,0,0,0.0052699999999999032,-0.00036500000000000562,0,-1,-0.5,0,0,0,0
740,-0.0052599999999999019,0.00037000000000000574,0,1,0.5,0,0,0,0,0.0052599999999999019,-0.00037000000000000574,0,-1,-0.5,0,0,0,0
750,-0.0052499999999999006,0.00037500000000000586,0,1,0.5,0,0,0,0,0.0052499999999999006,-0.00037500000000000586,0,-1,-0.5,0,0,0,0
760,-0.0052399999999998993,0.00038000000000000598,0,1,0.5,0,0,0,0,0.0052399999999998993,-0.00038000000000000598,0,-1,-0.5,0,0,0,0
770,-0.0052299999999998979,0.00038500000000000611,0,1,0.5,0,0,0,0,0.0052299999999998979,-0.00038500000000000611,0,-1,-0.5,0,0,0,0
780,-0.0052199999999998966,0.00039000000000000623,0,1,0.5,0,0,0,0,0.0052199999999998966,-0.00039000000000000623,0,-1,-0.5,0,0,0,0
790,-0.0052099999999998953,0.00039500000000000635,0,1,0.5,0,0,0,0,0.0052099999999998953,-0.00039500000000000635,0,-1,-0.5,0,0,0,0
800,-0.0051999999999998939,0.00040000000000000647,0,1,0.5,0,0,0,0,0.0051999999999998939,-0.00040000000000000647,0,-1,-0.5,0,0,0,0
810,-0.0051899999999998926,0.00040500000000000659,0,1,0.5,0,0,0,0,0.0051899999999998926,-0.00040500000000000659,0,-1,-0.5,0,0,0,0
820,-0.0051799999999998913,0.00041000000000000671,0,1,0.5,0,0,0,0,0.0051799999999998913,-0.00041000000000000671,0,-1,-0.5,0,0,0,0
